Location,Date,Value
Canada,05/11/2025,189.089316009841
Canada,05/12/2025,204.597654122792
Canada,05/13/2025,220.397654258072
Canada,05/14/2025,220.552005233639
Canada,05/15/2025,209.293410924117
Canada,05/16/2025,210.207006462036
Canada,05/17/2025,218.393280921651
"Saskatchewan, Canada",05/11/2025,134.331324206691
"Saskatchewan, Canada",05/12/2025,142.91729693452
"Saskatchewan, Canada",05/13/2025,150.16823803489
"Saskatchewan, Canada",05/14/2025,152.401417316933
"Saskatchewan, Canada",05/15/2025,154.634188426764
"Saskatchewan, Canada",05/16/2025,165.71403742507
"Saskatchewan, Canada",05/17/2025,166.348224646269
"Estevan, SK+",05/11/2025,104.041997674813
"Estevan, SK+",05/12/2025,105.483409284756
"Estevan, SK+",05/13/2025,110.458349337436
"Estevan, SK+",05/14/2025,108.536107165025
"Estevan, SK+",05/15/2025,106.599485582296
"Estevan, SK+",05/16/2025,107.15928286071
"Estevan, SK+",05/17/2025,107.475251850073
"Moose Jaw, SK+",05/11/2025,135.474928151446
"Moose Jaw, SK+",05/12/2025,140.821949546804
"Moose Jaw, SK+",05/13/2025,144.499386530973
"Moose Jaw, SK+",05/14/2025,145.787720576076
"Moose Jaw, SK+",05/15/2025,151.027251011561
"Moose Jaw, SK+",05/16/2025,176.899662408746
"Moose Jaw, SK+",05/17/2025,182.520062546433
"Prince Albert, SK+",05/11/2025,154.639678125127
"Prince Albert, SK+",05/12/2025,167.788320169446
"Prince Albert, SK+",05/13/2025,165.713929335622
"Prince Albert, SK+",05/14/2025,165.040008635022
"Prince Albert, SK+",05/15/2025,160.650851076734
"Prince Albert, SK+",05/16/2025,170.002855086695
"Prince Albert, SK+",05/17/2025,168.970316315059
"Regina, SK+",05/11/2025,127.007108399373
"Regina, SK+",05/12/2025,137.343748050636
"Regina, SK+",05/13/2025,147.138351377351
"Regina, SK+",05/14/2025,143.399788012892
"Regina, SK+",05/15/2025,138.621742480923
"Regina, SK+",05/16/2025,138.390876745245
"Regina, SK+",05/17/2025,143.577509455038
"Saskatoon, SK+",05/11/2025,141.679575030554
"Saskatoon, SK+",05/12/2025,154.154840130797
"Saskatoon, SK+",05/13/2025,163.779898628657
"Saskatoon, SK+",05/14/2025,171.704382953396
"Saskatoon, SK+",05/15/2025,176.912687555876
"Saskatoon, SK+",05/16/2025,189.617225294965
"Saskatoon, SK+",05/17/2025,188.62226360455
"Swift Current, SK+",05/11/2025,114.579309174205
"Swift Current, SK+",05/12/2025,117.633610353643
"Swift Current, SK+",05/13/2025,120.560715741827
"Swift Current, SK+",05/14/2025,120.500099522957
"Swift Current, SK+",05/15/2025,115.323413521213
"Swift Current, SK+",05/16/2025,125.820198132944
"Swift Current, SK+",05/17/2025,133.242608291357
"Yorkton, SK+",05/11/2025,130.760784761299
"Yorkton, SK+",05/12/2025,137.712288010823
"Yorkton, SK+",05/13/2025,142.129108103731
"Yorkton, SK+",05/14/2025,138.554698526827
"Yorkton, SK+",05/15/2025,138.994273260491
"Yorkton, SK+",05/16/2025,146.509664585689
"Yorkton, SK+",05/17/2025,146.927067065174
