Location,Date,Value
Canada,04/27/2025,223845
Canada,04/28/2025,288241
Canada,04/29/2025,317191
Canada,04/30/2025,319921
Canada,05/01/2025,316754
Canada,05/02/2025,328760
Canada,05/03/2025,338980
"Saskatchewan, Canada",04/27/2025,9413
"Saskatchewan, Canada",04/28/2025,13915
"Saskatchewan, Canada",04/29/2025,15908
"Saskatchewan, Canada",04/30/2025,15778
"Saskatchewan, Canada",05/01/2025,15278
"Saskatchewan, Canada",05/02/2025,16729
"Saskatchewan, Canada",05/03/2025,16352
"Estevan, SK+",04/27/2025,266
"Estevan, SK+",04/28/2025,391
"Estevan, SK+",04/29/2025,447
"Estevan, SK+",04/30/2025,469
"Estevan, SK+",05/01/2025,419
"Estevan, SK+",05/02/2025,533
"Estevan, SK+",05/03/2025,522
"Moose Jaw, SK+",04/27/2025,523
"Moose Jaw, SK+",04/28/2025,631
"Moose Jaw, SK+",04/29/2025,773
"Moose Jaw, SK+",04/30/2025,860
"Moose Jaw, SK+",05/01/2025,839
"Moose Jaw, SK+",05/02/2025,946
"Moose Jaw, SK+",05/03/2025,947
"Prince Albert, SK+",04/27/2025,536
"Prince Albert, SK+",04/28/2025,737
"Prince Albert, SK+",04/29/2025,780
"Prince Albert, SK+",04/30/2025,762
"Prince Albert, SK+",05/01/2025,754
"Prince Albert, SK+",05/02/2025,746
"Prince Albert, SK+",05/03/2025,701
"Regina, SK+",04/27/2025,2067
"Regina, SK+",04/28/2025,2603
"Regina, SK+",04/29/2025,3015
"Regina, SK+",04/30/2025,2914
"Regina, SK+",05/01/2025,3213
"Regina, SK+",05/02/2025,3335
"Regina, SK+",05/03/2025,3343
"Saskatoon, SK+",04/27/2025,2278
"Saskatoon, SK+",04/28/2025,3690
"Saskatoon, SK+",04/29/2025,4236
"Saskatoon, SK+",04/30/2025,4169
"Saskatoon, SK+",05/01/2025,3908
"Saskatoon, SK+",05/02/2025,4475
"Saskatoon, SK+",05/03/2025,4329
"Swift Current, SK+",04/27/2025,255
"Swift Current, SK+",04/28/2025,431
"Swift Current, SK+",04/29/2025,510
"Swift Current, SK+",04/30/2025,540
"Swift Current, SK+",05/01/2025,395
"Swift Current, SK+",05/02/2025,489
"Swift Current, SK+",05/03/2025,338
"Yorkton, SK+",04/27/2025,293
"Yorkton, SK+",04/28/2025,524
"Yorkton, SK+",04/29/2025,576
"Yorkton, SK+",04/30/2025,552
"Yorkton, SK+",05/01/2025,575
"Yorkton, SK+",05/02/2025,645
"Yorkton, SK+",05/03/2025,597
