Location,Date,Value
Canada,05/04/2025,51.5825518330737
Canada,05/05/2025,67.1435577726033
Canada,05/06/2025,74.5973745951654
Canada,05/07/2025,75.0199931956858
Canada,05/08/2025,71.3626743605491
Canada,05/09/2025,69.7663115757289
Canada,05/10/2025,69.0124040530806
"Saskatchewan, Canada",05/04/2025,45.0478501762901
"Saskatchewan, Canada",05/05/2025,63.2858647373964
"Saskatchewan, Canada",05/06/2025,71.8302120060442
"Saskatchewan, Canada",05/07/2025,72.4254773570218
"Saskatchewan, Canada",05/08/2025,65.9828746737487
"Saskatchewan, Canada",05/09/2025,67.1138788406062
"Saskatchewan, Canada",05/10/2025,66.8437199505471
"Estevan, SK+",05/04/2025,45.9279038718291
"Estevan, SK+",05/05/2025,59.0120160213618
"Estevan, SK+",05/06/2025,77.16955941255
"Estevan, SK+",05/07/2025,74.6328437917222
"Estevan, SK+",05/08/2025,60.2136181575433
"Estevan, SK+",05/09/2025,57.0093457943925
"Estevan, SK+",05/10/2025,50.2002670226969
"Moose Jaw, SK+",05/04/2025,52.3524379811804
"Moose Jaw, SK+",05/05/2025,54.2343883661248
"Moose Jaw, SK+",05/06/2025,67.6646706586826
"Moose Jaw, SK+",05/07/2025,89.7348160821214
"Moose Jaw, SK+",05/08/2025,87.2540633019674
"Moose Jaw, SK+",05/09/2025,73.0538922155688
"Moose Jaw, SK+",05/10/2025,61.0778443113772
"Prince Albert, SK+",05/04/2025,68.4090909090909
"Prince Albert, SK+",05/05/2025,80.5681818181818
"Prince Albert, SK+",05/06/2025,84.7727272727272
"Prince Albert, SK+",05/07/2025,85.7954545454545
"Prince Albert, SK+",05/08/2025,88.2954545454545
"Prince Albert, SK+",05/09/2025,88.6363636363636
"Prince Albert, SK+",05/10/2025,82.5
"Regina, SK+",05/04/2025,43.2159566609209
"Regina, SK+",05/05/2025,61.8320610687022
"Regina, SK+",05/06/2025,75.0554050726422
"Regina, SK+",05/07/2025,69.2194040876631
"Regina, SK+",05/08/2025,59.049495198227
"Regina, SK+",05/09/2025,64.2698842649593
"Regina, SK+",05/10/2025,64.3930066486087
"Saskatoon, SK+",05/04/2025,51.3200379867046
"Saskatoon, SK+",05/05/2025,66.5527065527065
"Saskatoon, SK+",05/06/2025,73.2953466286799
"Saskatoon, SK+",05/07/2025,75.707502374169
"Saskatoon, SK+",05/08/2025,75.2896486229819
"Saskatoon, SK+",05/09/2025,81.747388414055
"Saskatoon, SK+",05/10/2025,79.7340930674264
"Swift Current, SK+",05/04/2025,27.2102161100196
"Swift Current, SK+",05/05/2025,48.3300589390962
"Swift Current, SK+",05/06/2025,52.6522593320235
"Swift Current, SK+",05/07/2025,55.3045186640471
"Swift Current, SK+",05/08/2025,45.6777996070726
"Swift Current, SK+",05/09/2025,51.5717092337917
"Swift Current, SK+",05/10/2025,68.0746561886051
"Yorkton, SK+",05/04/2025,48.6251808972503
"Yorkton, SK+",05/05/2025,90.3039073806078
"Yorkton, SK+",05/06/2025,96.9609261939218
"Yorkton, SK+",05/07/2025,96.8162083936324
"Yorkton, SK+",05/08/2025,85.0940665701881
"Yorkton, SK+",05/09/2025,63.3863965267727
"Yorkton, SK+",05/10/2025,70.4775687409551
