Location,Date,Value
Canada,05/11/2025,87.3233216305077
Canada,05/12/2025,136.814263850548
Canada,05/13/2025,167.762356623247
Canada,05/14/2025,169.630324001784
Canada,05/15/2025,145.778404481031
Canada,05/16/2025,149.650162255481
Canada,05/17/2025,175.674216741741
"Saskatchewan, Canada",05/11/2025,55.5653856901245
"Saskatchewan, Canada",05/12/2025,96.1158517488657
"Saskatchewan, Canada",05/13/2025,115.53895423867
"Saskatchewan, Canada",05/14/2025,116.186664951106
"Saskatchewan, Canada",05/15/2025,104.244257775163
"Saskatchewan, Canada",05/16/2025,115.540312477024
"Saskatchewan, Canada",05/17/2025,124.51296734151
"Estevan, SK+",05/11/2025,44.4505197008547
"Estevan, SK+",05/12/2025,68.7261732055555
"Estevan, SK+",05/13/2025,73.8846902777777
"Estevan, SK+",05/14/2025,65.3535171314102
"Estevan, SK+",05/15/2025,51.6630350685897
"Estevan, SK+",05/16/2025,41.2041034230769
"Estevan, SK+",05/17/2025,45.0563806153846
"Moose Jaw, SK+",05/11/2025,56.2064500884955
"Moose Jaw, SK+",05/12/2025,104.321478449557
"Moose Jaw, SK+",05/13/2025,120.519163274336
"Moose Jaw, SK+",05/14/2025,125.833883713653
"Moose Jaw, SK+",05/15/2025,98.5746728159292
"Moose Jaw, SK+",05/16/2025,147.845141294563
"Moose Jaw, SK+",05/17/2025,170.341649476611
"Prince Albert, SK+",05/11/2025,89.0935418289085
"Prince Albert, SK+",05/12/2025,135.374667409439
"Prince Albert, SK+",05/13/2025,138.785415818584
"Prince Albert, SK+",05/14/2025,136.158007123893
"Prince Albert, SK+",05/15/2025,125.052082940412
"Prince Albert, SK+",05/16/2025,137.740949632743
"Prince Albert, SK+",05/17/2025,131.144006867256
"Regina, SK+",05/11/2025,51.0718069480859
"Regina, SK+",05/12/2025,81.1007899102254
"Regina, SK+",05/13/2025,105.580191064664
"Regina, SK+",05/14/2025,92.2335006869428
"Regina, SK+",05/15/2025,75.5404866068169
"Regina, SK+",05/16/2025,82.7073769664394
"Regina, SK+",05/17/2025,95.3530024625065
"Saskatoon, SK+",05/11/2025,62.1769069917159
"Saskatoon, SK+",05/12/2025,108.846516030153
"Saskatoon, SK+",05/13/2025,134.664869615384
"Saskatoon, SK+",05/14/2025,151.267309152071
"Saskatoon, SK+",05/15/2025,155.346253192662
"Saskatoon, SK+",05/16/2025,173.017982688994
"Saskatoon, SK+",05/17/2025,176.093313094437
"Swift Current, SK+",05/11/2025,39.2811187640449
"Swift Current, SK+",05/12/2025,65.8655775064606
"Swift Current, SK+",05/13/2025,63.0042247295208
"Swift Current, SK+",05/14/2025,75.6380781877897
"Swift Current, SK+",05/15/2025,61.853225719629
"Swift Current, SK+",05/16/2025,65.5056041360123
"Swift Current, SK+",05/17/2025,80.3644022503863
"Yorkton, SK+",05/11/2025,76.8290573271889
"Yorkton, SK+",05/12/2025,131.932756386635
"Yorkton, SK+",05/13/2025,135.95852453917
"Yorkton, SK+",05/14/2025,116.899260841013
"Yorkton, SK+",05/15/2025,105.603463765207
"Yorkton, SK+",05/16/2025,97.5317593479262
"Yorkton, SK+",05/17/2025,116.095772239631
