Location,Date,Value
Canada,05/04/2025,46362069.3824042
Canada,05/05/2025,62598397.998144
Canada,05/06/2025,72061364.6509026
Canada,05/07/2025,72504662.3289111
Canada,05/08/2025,67548609.6799442
Canada,05/09/2025,64276238.0071943
Canada,05/10/2025,63418013.2877506
"Saskatchewan, Canada",05/04/2025,1330895.47897932
"Saskatchewan, Canada",05/05/2025,1984452.40569821
"Saskatchewan, Canada",05/06/2025,2347103.54236636
"Saskatchewan, Canada",05/07/2025,2396335.11061622
"Saskatchewan, Canada",05/08/2025,2090772.84471358
"Saskatchewan, Canada",05/09/2025,2203591.41000735
"Saskatchewan, Canada",05/10/2025,2234638.73065151
"Estevan, SK+",05/04/2025,35142.3203187478
"Estevan, SK+",05/05/2025,47350.8858092307
"Estevan, SK+",05/06/2025,64872.6598565918
"Estevan, SK+",05/07/2025,62441.6167160961
"Estevan, SK+",05/08/2025,48995.225055691
"Estevan, SK+",05/09/2025,44397.190217788
"Estevan, SK+",05/10/2025,38810.6247576923
"Moose Jaw, SK+",05/04/2025,88301.8166649911
"Moose Jaw, SK+",05/05/2025,85302.9430190442
"Moose Jaw, SK+",05/06/2025,111142.516563848
"Moose Jaw, SK+",05/07/2025,152654.96403232
"Moose Jaw, SK+",05/08/2025,150052.117243951
"Moose Jaw, SK+",05/09/2025,138133.3942912
"Moose Jaw, SK+",05/10/2025,124826.843843008
"Prince Albert, SK+",05/04/2025,95041.6246305604
"Prince Albert, SK+",05/05/2025,119374.8512623
"Prince Albert, SK+",05/06/2025,121916.344220519
"Prince Albert, SK+",05/07/2025,122837.305508743
"Prince Albert, SK+",05/08/2025,127943.312175079
"Prince Albert, SK+",05/09/2025,138345.899178666
"Prince Albert, SK+",05/10/2025,129247.291572861
"Regina, SK+",05/04/2025,215653.728296971
"Regina, SK+",05/05/2025,341597.603692467
"Regina, SK+",05/06/2025,455268.337110679
"Regina, SK+",05/07/2025,410471.737127753
"Regina, SK+",05/08/2025,330710.12079128
"Regina, SK+",05/09/2025,363248.013512071
"Regina, SK+",05/10/2025,372402.690994373
"Saskatoon, SK+",05/04/2025,392115.78553403
"Saskatoon, SK+",05/05/2025,548122.9741056
"Saskatoon, SK+",05/06/2025,627472.550940383
"Saskatoon, SK+",05/07/2025,674719.797619329
"Saskatoon, SK+",05/08/2025,621038.286249272
"Saskatoon, SK+",05/09/2025,685548.849329723
"Saskatoon, SK+",05/10/2025,676961.277665538
"Swift Current, SK+",05/04/2025,31762.173814573
"Swift Current, SK+",05/05/2025,57962.6942173483
"Swift Current, SK+",05/06/2025,63070.5697430244
"Swift Current, SK+",05/07/2025,67251.1876020022
"Swift Current, SK+",05/08/2025,53957.911193603
"Swift Current, SK+",05/09/2025,64391.3796223191
"Swift Current, SK+",05/10/2025,89078.6371195505
"Yorkton, SK+",05/04/2025,42893.571988917
"Yorkton, SK+",05/05/2025,84216.0843844423
"Yorkton, SK+",05/06/2025,95509.7822235564
"Yorkton, SK+",05/07/2025,95771.2282662857
"Yorkton, SK+",05/08/2025,81332.0280891034
"Yorkton, SK+",05/09/2025,59434.0310784
"Yorkton, SK+",05/10/2025,69610.438101705
