Location,Date,Value
Canada,05/04/2025,452655
Canada,05/05/2025,452654
Canada,05/06/2025,452654
Canada,05/07/2025,452654
Canada,05/08/2025,452654
Canada,05/09/2025,452654
Canada,05/10/2025,452594
"Saskatchewan, Canada",05/04/2025,21839
"Saskatchewan, Canada",05/05/2025,21839
"Saskatchewan, Canada",05/06/2025,21839
"Saskatchewan, Canada",05/07/2025,21839
"Saskatchewan, Canada",05/08/2025,21839
"Saskatchewan, Canada",05/09/2025,21839
"Saskatchewan, Canada",05/10/2025,21839
"Estevan, SK+",05/04/2025,749
"Estevan, SK+",05/05/2025,749
"Estevan, SK+",05/06/2025,749
"Estevan, SK+",05/07/2025,749
"Estevan, SK+",05/08/2025,749
"Estevan, SK+",05/09/2025,749
"Estevan, SK+",05/10/2025,749
"Moose Jaw, SK+",05/04/2025,1169
"Moose Jaw, SK+",05/05/2025,1169
"Moose Jaw, SK+",05/06/2025,1169
"Moose Jaw, SK+",05/07/2025,1169
"Moose Jaw, SK+",05/08/2025,1169
"Moose Jaw, SK+",05/09/2025,1169
"Moose Jaw, SK+",05/10/2025,1169
"Prince Albert, SK+",05/04/2025,880
"Prince Albert, SK+",05/05/2025,880
"Prince Albert, SK+",05/06/2025,880
"Prince Albert, SK+",05/07/2025,880
"Prince Albert, SK+",05/08/2025,880
"Prince Albert, SK+",05/09/2025,880
"Prince Albert, SK+",05/10/2025,880
"Regina, SK+",05/04/2025,4061
"Regina, SK+",05/05/2025,4061
"Regina, SK+",05/06/2025,4061
"Regina, SK+",05/07/2025,4061
"Regina, SK+",05/08/2025,4061
"Regina, SK+",05/09/2025,4061
"Regina, SK+",05/10/2025,4061
"Saskatoon, SK+",05/04/2025,5265
"Saskatoon, SK+",05/05/2025,5265
"Saskatoon, SK+",05/06/2025,5265
"Saskatoon, SK+",05/07/2025,5265
"Saskatoon, SK+",05/08/2025,5265
"Saskatoon, SK+",05/09/2025,5265
"Saskatoon, SK+",05/10/2025,5265
"Swift Current, SK+",05/04/2025,1018
"Swift Current, SK+",05/05/2025,1018
"Swift Current, SK+",05/06/2025,1018
"Swift Current, SK+",05/07/2025,1018
"Swift Current, SK+",05/08/2025,1018
"Swift Current, SK+",05/09/2025,1018
"Swift Current, SK+",05/10/2025,1018
"Yorkton, SK+",05/04/2025,691
"Yorkton, SK+",05/05/2025,691
"Yorkton, SK+",05/06/2025,691
"Yorkton, SK+",05/07/2025,691
"Yorkton, SK+",05/08/2025,691
"Yorkton, SK+",05/09/2025,691
"Yorkton, SK+",05/10/2025,691
