Location,Date,Value
Canada,05/25/2025,211.512165663172
Canada,05/26/2025,216.964641707304
Canada,05/27/2025,226.266976268754
Canada,05/28/2025,227.151497294859
Canada,05/29/2025,222.564895181277
Canada,05/30/2025,221.074965699771
Canada,05/31/2025,217.864294742846
"Saskatchewan, Canada",05/25/2025,141.620268830512
"Saskatchewan, Canada",05/26/2025,149.230368123833
"Saskatchewan, Canada",05/27/2025,155.688196452115
"Saskatchewan, Canada",05/28/2025,158.618974711714
"Saskatchewan, Canada",05/29/2025,158.325670723134
"Saskatchewan, Canada",05/30/2025,165.035946764959
"Saskatchewan, Canada",05/31/2025,162.355103390919
"Estevan, SK+",05/25/2025,100.245787130624
"Estevan, SK+",05/26/2025,109.819863294588
"Estevan, SK+",05/27/2025,111.034917652721
"Estevan, SK+",05/28/2025,109.263481318011
"Estevan, SK+",05/29/2025,101.133711456327
"Estevan, SK+",05/30/2025,107.662077700618
"Estevan, SK+",05/31/2025,108.879332445591
"Moose Jaw, SK+",05/25/2025,140.099998414513
"Moose Jaw, SK+",05/26/2025,136.56870182228
"Moose Jaw, SK+",05/27/2025,139.773025740324
"Moose Jaw, SK+",05/28/2025,141.024025955257
"Moose Jaw, SK+",05/29/2025,139.879109426971
"Moose Jaw, SK+",05/30/2025,164.9218758982
"Moose Jaw, SK+",05/31/2025,170.109299437543
"Prince Albert, SK+",05/25/2025,154.817846597938
"Prince Albert, SK+",05/26/2025,162.225533588506
"Prince Albert, SK+",05/27/2025,167.269036379482
"Prince Albert, SK+",05/28/2025,169.423710569607
"Prince Albert, SK+",05/29/2025,170.509968200219
"Prince Albert, SK+",05/30/2025,186.096930644989
"Prince Albert, SK+",05/31/2025,188.734552206425
"Regina, SK+",05/25/2025,135.766159402973
"Regina, SK+",05/26/2025,148.46687534574
"Regina, SK+",05/27/2025,159.53057761874
"Regina, SK+",05/28/2025,164.596590436757
"Regina, SK+",05/29/2025,169.382840790664
"Regina, SK+",05/30/2025,170.504500265396
"Regina, SK+",05/31/2025,160.877215605448
"Saskatoon, SK+",05/25/2025,149.71115518377
"Saskatoon, SK+",05/26/2025,161.249102575964
"Saskatoon, SK+",05/27/2025,167.922284265182
"Saskatoon, SK+",05/28/2025,171.329898570611
"Saskatoon, SK+",05/29/2025,162.276824308576
"Saskatoon, SK+",05/30/2025,168.147637793347
"Saskatoon, SK+",05/31/2025,167.927300962536
"Swift Current, SK+",05/25/2025,111.222023701576
"Swift Current, SK+",05/26/2025,113.193238739525
"Swift Current, SK+",05/27/2025,117.551423869331
"Swift Current, SK+",05/28/2025,112.70408659377
"Swift Current, SK+",05/29/2025,111.105936013693
"Swift Current, SK+",05/30/2025,122.054564301322
"Swift Current, SK+",05/31/2025,123.621637320818
"Yorkton, SK+",05/25/2025,132.639296389957
"Yorkton, SK+",05/26/2025,136.37254144583
"Yorkton, SK+",05/27/2025,140.659493375622
"Yorkton, SK+",05/28/2025,143.315871315232
"Yorkton, SK+",05/29/2025,141.943496852254
"Yorkton, SK+",05/30/2025,138.745764645367
"Yorkton, SK+",05/31/2025,136.736100986134
