Location,Date,Value
Canada,05/25/2025,267444
Canada,05/26/2025,325186
Canada,05/27/2025,361705
Canada,05/28/2025,364477
Canada,05/29/2025,348409
Canada,05/30/2025,345764
Canada,05/31/2025,347831
"Saskatchewan, Canada",05/25/2025,10678
"Saskatchewan, Canada",05/26/2025,15417
"Saskatchewan, Canada",05/27/2025,18091
"Saskatchewan, Canada",05/28/2025,18192
"Saskatchewan, Canada",05/29/2025,16805
"Saskatchewan, Canada",05/30/2025,17284
"Saskatchewan, Canada",05/31/2025,16996
"Estevan, SK+",05/25/2025,318
"Estevan, SK+",05/26/2025,458
"Estevan, SK+",05/27/2025,519
"Estevan, SK+",05/28/2025,491
"Estevan, SK+",05/29/2025,355
"Estevan, SK+",05/30/2025,299
"Estevan, SK+",05/31/2025,392
"Moose Jaw, SK+",05/25/2025,600
"Moose Jaw, SK+",05/26/2025,735
"Moose Jaw, SK+",05/27/2025,868
"Moose Jaw, SK+",05/28/2025,866
"Moose Jaw, SK+",05/29/2025,754
"Moose Jaw, SK+",05/30/2025,1049
"Moose Jaw, SK+",05/31/2025,1008
"Prince Albert, SK+",05/25/2025,679
"Prince Albert, SK+",05/26/2025,818
"Prince Albert, SK+",05/27/2025,813
"Prince Albert, SK+",05/28/2025,837
"Prince Albert, SK+",05/29/2025,797
"Prince Albert, SK+",05/30/2025,823
"Prince Albert, SK+",05/31/2025,831
"Regina, SK+",05/25/2025,1624
"Regina, SK+",05/26/2025,2643
"Regina, SK+",05/27/2025,3516
"Regina, SK+",05/28/2025,3556
"Regina, SK+",05/29/2025,3687
"Regina, SK+",05/30/2025,3735
"Regina, SK+",05/31/2025,3241
"Saskatoon, SK+",05/25/2025,3095
"Saskatoon, SK+",05/26/2025,4106
"Saskatoon, SK+",05/27/2025,4590
"Saskatoon, SK+",05/28/2025,4718
"Saskatoon, SK+",05/29/2025,4234
"Saskatoon, SK+",05/30/2025,4535
"Saskatoon, SK+",05/31/2025,4599
"Swift Current, SK+",05/25/2025,310
"Swift Current, SK+",05/26/2025,549
"Swift Current, SK+",05/27/2025,665
"Swift Current, SK+",05/28/2025,606
"Swift Current, SK+",05/29/2025,396
"Swift Current, SK+",05/30/2025,530
"Swift Current, SK+",05/31/2025,558
"Yorkton, SK+",05/25/2025,451
"Yorkton, SK+",05/26/2025,658
"Yorkton, SK+",05/27/2025,670
"Yorkton, SK+",05/28/2025,670
"Yorkton, SK+",05/29/2025,635
"Yorkton, SK+",05/30/2025,420
"Yorkton, SK+",05/31/2025,449
