Location,Date,Value
Canada,05/18/2025,57320403.036222
Canada,05/19/2025,41757866.6723371
Canada,05/20/2025,59444621.4272105
Canada,05/21/2025,66750613.6627257
Canada,05/22/2025,65955472.7021176
Canada,05/23/2025,72787880.1992428
Canada,05/24/2025,82540562.0126774
"Saskatchewan, Canada",05/18/2025,1772220.9881903
"Saskatchewan, Canada",05/19/2025,1158500.33104785
"Saskatchewan, Canada",05/20/2025,1923019.99073614
"Saskatchewan, Canada",05/21/2025,2076003.68759694
"Saskatchewan, Canada",05/22/2025,2079613.67482803
"Saskatchewan, Canada",05/23/2025,2390007.90071711
"Saskatchewan, Canada",05/24/2025,2608543.95728815
"Estevan, SK+",05/18/2025,27576.8433230769
"Estevan, SK+",05/19/2025,27198.3136152134
"Estevan, SK+",05/20/2025,44401.9410172393
"Estevan, SK+",05/21/2025,39709.5763053589
"Estevan, SK+",05/22/2025,38681.5529149807
"Estevan, SK+",05/23/2025,36662.7979299002
"Estevan, SK+",05/24/2025,36163.7193402692
"Moose Jaw, SK+",05/18/2025,109512.893955823
"Moose Jaw, SK+",05/19/2025,78927.2608049663
"Moose Jaw, SK+",05/20/2025,96298.58519623
"Moose Jaw, SK+",05/21/2025,100435.528683504
"Moose Jaw, SK+",05/22/2025,87870.2497519221
"Moose Jaw, SK+",05/23/2025,145168.879847042
"Moose Jaw, SK+",05/24/2025,156003.776517982
"Prince Albert, SK+",05/18/2025,85200.4357210619
"Prince Albert, SK+",05/19/2025,73694.5284737109
"Prince Albert, SK+",05/20/2025,106420.990791386
"Prince Albert, SK+",05/21/2025,111309.086535929
"Prince Albert, SK+",05/22/2025,132461.10884269
"Prince Albert, SK+",05/23/2025,158987.01216492
"Prince Albert, SK+",05/24/2025,164753.888850265
"Regina, SK+",05/18/2025,210448.984381239
"Regina, SK+",05/19/2025,166685.391651916
"Regina, SK+",05/20/2025,267635.207932579
"Regina, SK+",05/21/2025,318034.978451631
"Regina, SK+",05/22/2025,366429.494621829
"Regina, SK+",05/23/2025,428091.60138127
"Regina, SK+",05/24/2025,453848.513182839
"Saskatoon, SK+",05/18/2025,634496.704419749
"Saskatoon, SK+",05/19/2025,314566.063401965
"Saskatoon, SK+",05/20/2025,550872.338582985
"Saskatoon, SK+",05/21/2025,588459.112865169
"Saskatoon, SK+",05/22/2025,582835.951253677
"Saskatoon, SK+",05/23/2025,669576.926462031
"Saskatoon, SK+",05/24/2025,770580.677859635
"Swift Current, SK+",05/18/2025,56346.2849702022
"Swift Current, SK+",05/19/2025,32606.9402690213
"Swift Current, SK+",05/20/2025,56844.9992554775
"Swift Current, SK+",05/21/2025,58096.7760725393
"Swift Current, SK+",05/22/2025,51953.9639447485
"Swift Current, SK+",05/23/2025,57735.6792193651
"Swift Current, SK+",05/24/2025,55051.827347882
"Yorkton, SK+",05/18/2025,54686.2408062304
"Yorkton, SK+",05/19/2025,50601.5516647626
"Yorkton, SK+",05/20/2025,94869.0683999919
"Yorkton, SK+",05/21/2025,94629.2343089032
"Yorkton, SK+",05/22/2025,93629.2613116486
"Yorkton, SK+",05/23/2025,91459.2096200177
"Yorkton, SK+",05/24/2025,89976.288779129
