Location,Date,Value
Canada,05/18/2025,452995
Canada,05/19/2025,452995
Canada,05/20/2025,452911
Canada,05/21/2025,452911
Canada,05/22/2025,452911
Canada,05/23/2025,452911
Canada,05/24/2025,452911
"Saskatchewan, Canada",05/18/2025,21770
"Saskatchewan, Canada",05/19/2025,21770
"Saskatchewan, Canada",05/20/2025,21770
"Saskatchewan, Canada",05/21/2025,21770
"Saskatchewan, Canada",05/22/2025,21770
"Saskatchewan, Canada",05/23/2025,21770
"Saskatchewan, Canada",05/24/2025,21770
"Estevan, SK+",05/18/2025,749
"Estevan, SK+",05/19/2025,749
"Estevan, SK+",05/20/2025,749
"Estevan, SK+",05/21/2025,749
"Estevan, SK+",05/22/2025,749
"Estevan, SK+",05/23/2025,749
"Estevan, SK+",05/24/2025,749
"Moose Jaw, SK+",05/18/2025,1169
"Moose Jaw, SK+",05/19/2025,1169
"Moose Jaw, SK+",05/20/2025,1169
"Moose Jaw, SK+",05/21/2025,1169
"Moose Jaw, SK+",05/22/2025,1169
"Moose Jaw, SK+",05/23/2025,1169
"Moose Jaw, SK+",05/24/2025,1169
"Prince Albert, SK+",05/18/2025,880
"Prince Albert, SK+",05/19/2025,880
"Prince Albert, SK+",05/20/2025,880
"Prince Albert, SK+",05/21/2025,880
"Prince Albert, SK+",05/22/2025,880
"Prince Albert, SK+",05/23/2025,880
"Prince Albert, SK+",05/24/2025,880
"Regina, SK+",05/18/2025,4061
"Regina, SK+",05/19/2025,4061
"Regina, SK+",05/20/2025,4061
"Regina, SK+",05/21/2025,4061
"Regina, SK+",05/22/2025,4061
"Regina, SK+",05/23/2025,4061
"Regina, SK+",05/24/2025,4061
"Saskatoon, SK+",05/18/2025,5205
"Saskatoon, SK+",05/19/2025,5205
"Saskatoon, SK+",05/20/2025,5205
"Saskatoon, SK+",05/21/2025,5205
"Saskatoon, SK+",05/22/2025,5205
"Saskatoon, SK+",05/23/2025,5205
"Saskatoon, SK+",05/24/2025,5205
"Swift Current, SK+",05/18/2025,1018
"Swift Current, SK+",05/19/2025,1018
"Swift Current, SK+",05/20/2025,1018
"Swift Current, SK+",05/21/2025,1018
"Swift Current, SK+",05/22/2025,1018
"Swift Current, SK+",05/23/2025,1018
"Swift Current, SK+",05/24/2025,1018
"Yorkton, SK+",05/18/2025,691
"Yorkton, SK+",05/19/2025,691
"Yorkton, SK+",05/20/2025,691
"Yorkton, SK+",05/21/2025,691
"Yorkton, SK+",05/22/2025,691
"Yorkton, SK+",05/23/2025,691
"Yorkton, SK+",05/24/2025,691
